address,type,rent,beds,baths,sqft,Location,Area
"Jalalabad Housing Society, West Khulshi, 9 No. North Pahartali Ward, Chattogram",Apartment,20000.0,3 ,3 ,"1,250 ",Chattogram,9 No. North Pahartali Ward
"Paikpara, Ahmed Nagar, Mirpur, Dhaka",Apartment,14000.0,3 ,2 ,950 ,Dhaka,Mirpur
"Paikpara, Ahmed Nagar, Mirpur, Dhaka",Apartment,13000.0,3 ,2 ,800 ,Dhaka,Mirpur
"Mohakhali DOHS, Dhaka",Apartment,45000.0,3 ,3 ,"1,350 ",Dhaka,Mohakhali DOHS
"Block C, Mansurabad Housing Society, Adabor, Dhaka",Apartment,22000.0,3 ,3 ,"1,250 ",Dhaka,Adabor
"Mohammadia Housing Society, Mohammadpur, Dhaka",Apartment,32000.0,3 ,3 ,"1,400 ",Dhaka,Mohammadpur
"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,66400.0,4 ,4 ,"3,000 ",Chattogram,Khulshi
"Zafrabad, Dhaka",Apartment,22000.0,3 ,3 ,950 ,Dhaka,Zafrabad
"Bashundhara R-A, Dhaka",Apartment,18000.0,3 ,4 ,"1,500 ",Dhaka,Bashundhara R-A
"Tilpapara, Khilgaon, Dhaka",Apartment,26000.0,3 ,3 ,"1,100 ",Dhaka,Khilgaon
"Niketan, Dhaka",Apartment,70000.0,3 ,3 ,"1,540 ",Dhaka,Niketan
"Jalalabad Housing Society, West Khulshi, 9 No. North Pahartali Ward, Chattogram",Apartment,20000.0,3 ,3 ,"1,250 ",Chattogram,9 No. North Pahartali Ward
"Manikdi, Cantonment, Dhaka",Apartment,10000.0,2 ,2 ,600 ,Dhaka,Cantonment
"Block K, Baridhara, Dhaka",Apartment,250000.0,4 ,4 ,"2,500 ",Dhaka,Baridhara
"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,25000.0,3 ,3 ,"1,700 ",Chattogram,Khulshi
"West Kazipara, Mirpur, Dhaka",Apartment,27000.0,3 ,3 ,"1,700 ",Dhaka,Mirpur
"West Agargaon, Agargaon, Dhaka",Apartment,20000.0,3 ,3 ,"1,250 ",Dhaka,Agargaon
"Baigertek, Cantonment, Dhaka",Apartment,13000.0,3 ,2 ,"1,000 ",Dhaka,Cantonment
"Gulshan 2, Gulshan, Dhaka",Apartment,229999.99999999997,4 ,5 ,"4,000 ",Dhaka,Gulshan
"Banani, Dhaka",Apartment,110000.00000000001,3 ,4 ,"2,200 ",Dhaka,Banani
"Kaderabad Housing Society, Katashur, Mohammadpur, Dhaka",Apartment,20000.0,3 ,2 ,"1,100 ",Dhaka,Mohammadpur
"Section 2, Mirpur, Dhaka",Apartment,20000.0,3 ,3 ,"1,200 ",Dhaka,Mirpur
"Middle Badda, Badda, Dhaka",Apartment,30000.0,3 ,3 ,"1,340 ",Dhaka,Badda
"Badurtala, Sholokbahar, Chattogram",Apartment,17000.0,3 ,3 ,"1,050 ",Chattogram,Sholokbahar
"Vashantek, Cantonment, Dhaka",Apartment,17000.0,3 ,2 ,"1,100 ",Dhaka,Cantonment
"Middle Monipur, Mirpur, Dhaka",Apartment,11200.0,2 ,2 ,700 ,Dhaka,Mirpur
"Block J, Banasree, Dhaka",Apartment,20000.0,3 ,3 ,"1,250 ",Dhaka,Banasree
"Taltola, Khilgaon, Dhaka",Apartment,26000.0,3 ,3 ,"1,100 ",Dhaka,Khilgaon
"South Khulshi, Khulshi, Chattogram",Apartment,35000.0,3 ,4 ,"2,200 ",Chattogram,Khulshi
"East Vatara, Vatara, Badda, Dhaka",Apartment,13000.0,2 ,2 ,800 ,Dhaka,Badda
"Dhanmondi, Dhaka",Apartment,25000.0,2 ,2 ,600 ,Dhaka,Dhanmondi
"Taltola, Khilgaon, Dhaka",Apartment,16000.0,2 ,2 ,980 ,Dhaka,Khilgaon
"Mohammadpur, Dhaka",Apartment,16000.0,2 ,2 ,720 ,Dhaka,Mohammadpur
"PC Culture Housing, Mohammadpur, Dhaka",Apartment,15000.0,2 ,2 ,800 ,Dhaka,Mohammadpur
"7 No. West Sholoshohor Ward, Chattogram",Apartment,18000.0,3 ,3 ,"1,350 ",Chattogram,7 No. West Sholoshohor Ward
"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,60000.0,3 ,4 ,"3,000 ",Chattogram,Khulshi
"Mohammadia Housing Society, Mohammadpur, Dhaka",Apartment,25000.0,3 ,3 ,"1,400 ",Dhaka,Mohammadpur
"Adabor, Dhaka",Apartment,23000.0,3 ,2 ,"1,460 ",Dhaka,Adabor
"Block K, Bashundhara R-A, Dhaka",Apartment,23000.0,3 ,3 ,"1,250 ",Dhaka,Bashundhara R-A
"South Khulshi, Khulshi, Chattogram",Apartment,35000.0,3 ,4 ,"2,000 ",Chattogram,Khulshi
"Sector 13, Uttara, Dhaka",Apartment,70000.0,3 ,4 ,"2,500 ",Dhaka,Uttara
"Gulshan 1, Gulshan, Dhaka",Duplex,350000.0,4 ,5 ,"8,000 ",Dhaka,Gulshan
"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,30000.0,3 ,3 ,"1,350 ",Chattogram,Khulshi
"Banani, Dhaka",Apartment,95000.0,3 ,4 ,"2,400 ",Dhaka,Banani
"Gulshan 2, Gulshan, Dhaka",Apartment,160000.0,3 ,4 ,"2,200 ",Dhaka,Gulshan
"Kakrail, Dhaka",Apartment,50000.0,3 ,4 ,"1,665 ",Dhaka,Kakrail
"Kachukhet, Dhaka",Apartment,15000.0,3 ,2 ,850 ,Dhaka,Kachukhet
"Nasirabad Properties Residential Area, Khulshi, Chattogram",Apartment,30000.0,3 ,3 ,"1,500 ",Chattogram,Khulshi
"Section 2, Mirpur, Dhaka",Apartment,15500.0,2 ,2 ,600 ,Dhaka,Mirpur
"Paikpara, Ahmed Nagar, Mirpur, Dhaka",Apartment,11000.0,2 ,2 ,750 ,Dhaka,Mirpur
"Paikpara, Ahmed Nagar, Mirpur, Dhaka",Apartment,16000.0,3 ,3 ,"1,250 ",Dhaka,Mirpur
"Block A, Bashundhara R-A, Dhaka",Apartment,110000.00000000001,4 ,5 ,"3,600 ",Dhaka,Bashundhara R-A
"East Rampura, Rampura, Dhaka",Apartment,22000.0,3 ,3 ,"1,350 ",Dhaka,Rampura
"Sayednagar, East Vatara, Vatara, Badda, Dhaka",Apartment,14500.0,2 ,2 ,850 ,Dhaka,Badda
"Block A, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",Apartment,24000.0,3 ,3 ,"1,200 ",Dhaka,Mohammadpur
"Shiddheswari, Dhaka",Apartment,35000.0,3 ,4 ,"1,500 ",Dhaka,Shiddheswari
"Sector 9, Uttara, Dhaka",Apartment,22000.0,2 ,2 ,900 ,Dhaka,Uttara
"15 No. Bagmoniram Ward, Chattogram",Apartment,35000.0,3 ,3 ,"1,660 ",Chattogram,15 No. Bagmoniram Ward
"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,42000.0,3 ,3 ,"1,800 ",Chattogram,16 No. Chawk Bazaar Ward
